sequence,delivery_id,customer_name,latitude,longitude
1,33333333-0000-0000-0000-000000000007,Hebbal Logistics,13.0358,77.5970
2,33333333-0000-0000-0000-000000000010,Yelahanka Supply,13.1007,77.5963
3,33333333-0000-0000-0000-000000000006,Malleshwaram Depot,13.0035,77.5709
4,33333333-0000-0000-0000-000000000012,Rajajinagar Mart,12.9914,77.5526
5,33333333-0000-0000-0000-000000000005,MG Road Retail,12.9756,77.6068
6,33333333-0000-0000-0000-000000000001,Meghana Foods,12.9719,77.6412
7,33333333-0000-0000-0000-000000000008,Marathahalli Goods,12.9591,77.6974
8,33333333-0000-0000-0000-000000000002,Koramangala Mart,12.9352,77.6245
9,33333333-0000-0000-0000-000000000004,Jayanagar Traders,12.9250,77.5938
10,33333333-0000-0000-0000-000000000011,BTM Layout Shop,12.9166,77.6101
11,33333333-0000-0000-0000-000000000003,HSR Layout Stores,12.9116,77.6389
12,33333333-0000-0000-0000-000000000009,Electronic City Co,12.8452,77.6602
